instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,LP,breadth,coneOB,1,96,1.17229,6283,0.216074,0.855249,0.0273883,639,5,13,9.35625,225,76,19,0.00575501,0.00588078,1.13642,0.000320692,0.00795779,0.000136612
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,WLP,breadth,coneOB,1,96,0.709176,4314,0.0279876,0.568689,0.0314728,643,5,13,9.36957,227,76,19,0.0046992,0.00285478,0.659175,0.000297292,0.0152311,0.000121275
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,LP,breadth,coneOB,1,108,0.902029,5824,0.161412,0.650359,0.0231886,601,5,15,9.21262,222,61,18,0.004195,0.00453848,0.864431,0.000290697,0.0068785,0.00010187
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,WLP,breadth,coneOB,1,108,0.591303,3778,0.0295017,0.463168,0.0262502,601,5,15,9.20598,221,60,20,0.0042174,0.00239559,0.54688,0.000296894,0.0141077,0.00012833
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_3.txt,3,20,LP,breadth,coneOB,1,129,1.091,6627,0.19584,0.78159,0.0235341,685,5,14,9.15452,251,81,11,0.00702139,0.00571471,1.03586,0.000409696,0.0091382,0.000131389
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_3.txt,3,20,WLP,breadth,coneOB,1,129,0.767333,4347,0.0394178,0.61036,0.0297871,685,5,14,9.1691,244,87,12,0.00722149,0.00333451,0.711082,0.000478785,0.017346,0.000156095
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_1.txt,4,20,LP,breadth,noOB,1,168,3.39269,19693,0.614289,2.38846,0.253234,1115,6,16,10.2742,0,531,27,0.0080845,0.0190964,3.31606,9.6605e-05,0.0030739,0.000142626
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_1.txt,4,20,WLP,breadth,noOB,1,168,2.11115,11012,0.0762032,1.57162,0.310708,1115,6,16,10.2742,0,531,27,0.00974629,0.0104226,2.01401,0.000120102,0.0334832,0.000229082
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_2.txt,4,20,LP,breadth,noOB,1,206,3.06392,20207,0.578054,2.09216,0.2477,1191,4,15,10.2936,0,568,28,0.0117627,0.0235995,2.9808,0.000118199,0.00340628,0.000155136
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_2.txt,4,20,WLP,breadth,noOB,1,206,2.07311,11268,0.0697948,1.53743,0.304685,1191,4,15,10.2936,0,568,28,0.0150365,0.0140677,1.96896,0.00012718,0.035789,0.000245713
