instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,LP,breadth,coneOB,1,96,1.30141,7109,0.213104,0.987714,0.0272131,641,5,13,9.38318,225,0,96,0.0063541,0.0055507,1.268,0.0002918,0.0075522,0.000122
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,WLP,breadth,coneOB,1,96,0.726431,4453,0.0005815,0.605718,0.0338623,643,5,13,9.37888,226,0,96,0.0056681,0.002189,0.671926,0.0002827,0.0180734,0.0001278
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,LP,breadth,coneOB,1,108,0.995194,6520,0.160253,0.741069,0.0221013,593,5,15,9.18855,218,0,79,0.004691,0.0047515,0.955153,0.0002884,0.006759,9.82e-05
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,WLP,breadth,coneOB,1,108,0.606389,3839,0.0005665,0.49555,0.0288044,607,5,15,9.23684,224,0,80,0.0050577,0.0021272,0.554257,0.0002961,0.0180952,0.0001271
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_3.txt,3,20,LP,breadth,coneOB,1,129,1.13836,7436,0.190455,0.838808,0.023937,681,5,12,9.11437,239,0,102,0.0083675,0.0059691,1.08963,0.0004037,0.0089184,0.0001356
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_3.txt,3,20,WLP,breadth,coneOB,1,129,0.747446,4419,0.0006174,0.622247,0.0332184,685,5,14,9.13703,242,0,101,0.0079228,0.0025756,0.688646,0.000396,0.0199153,0.0001475
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_1.txt,4,20,LP,breadth,coneOB,1,168,3.97325,23419,0.486571,2.80312,0.3351,1217,6,16,10.5041,325,0,284,0.128605,0.0176402,3.70434,0.004098,0.0482963,0.0003418
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_1.txt,4,20,WLP,breadth,coneOB,1,168,2.59963,12099,0.0006689,1.75554,0.452715,1211,6,16,10.5149,324,0,282,0.136933,0.0081003,2.27585,0.0038858,0.0960859,0.0003165
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_2.txt,4,20,LP,breadth,coneOB,1,206,4.51008,26344,0.526145,3.14359,0.352622,1411,4,16,10.5935,408,0,298,0.201453,0.0222665,4.11287,0.0063264,0.0713651,0.000423
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_2.txt,4,20,WLP,breadth,coneOB,1,206,3.11029,13666,0.0012484,2.08361,0.487279,1415,4,16,10.6031,410,0,298,0.212492,0.0112574,2.64987,0.0069102,0.12657,0.0004101
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_3.txt,4,20,LP,breadth,coneOB,1,168,3.68697,21860,0.42705,2.59053,0.307719,1077,6,16,10.462,297,0,242,0.154952,0.017265,3.39571,0.0044968,0.0497018,0.0003099
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_3.txt,4,20,WLP,breadth,coneOB,1,168,2.56713,11405,0.0017933,1.73097,0.420951,1073,6,16,10.4655,294,0,243,0.170246,0.0095383,2.21418,0.0043741,0.0911156,0.0003076
Forget21-UFLP_4_5_1-1000_1-100_spheredown_1_1.txt,5,20,LP,breadth,coneOB,1,214,16.8559,46054,0.82553,6.89508,5.08044,1305,5,16,10.7933,222,0,431,3.37486,0.0609604,12.9272,0.0276929,0.255931,0.0004794
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,LP,breadth,coneOB,1,96,1.0122,5402,0.17195,0.752223,0.0206586,487,4,13,8.82787,157,0,87,0.0047459,0.0047078,0.975454,0.0002311,0.0058872,9.22e-05
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,LP,breadth,coneOB,1,96,1.29561,7109,0.211181,0.968972,0.0268251,641,5,13,9.38318,225,0,96,0.006579,0.0055569,1.24868,0.0003015,0.0075785,0.0001281
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,WLP,breadth,coneOB,1,96,0.726644,4453,0.0006166,0.608276,0.0349377,643,5,13,9.37888,226,0,96,0.0055241,0.0021436,0.675051,0.0002872,0.0184242,0.0001209
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,LP,breadth,coneOB,1,108,0.988933,6520,0.160067,0.737415,0.0222963,593,5,15,9.18855,218,0,79,0.0045213,0.0043698,0.950446,0.0002822,0.0064831,8.91e-05
